id,url,createdTime,likesCount,commentsCount,sharesCount,authorId,authorName,type
163576114113950_172696209868607,https://www.facebook.com/163576114113950/posts/172696209868607,2016-12-03T19:30:04+0000,671,57,3,10208959705456943,Kevin Nourani,photo
163576114113950_172777383193823,https://www.facebook.com/163576114113950/posts/172777383193823,2016-12-03T22:31:48+0000,400,37,2,10204108747237389,Stacy Li,photo
163576114113950_172921853179376,https://www.facebook.com/163576114113950/posts/172921853179376,2016-12-04T03:27:37+0000,142,16,0,10207679168919831,Nazee Banayan,photo
163576114113950_173158453155716,https://www.facebook.com/163576114113950/posts/173158453155716,2016-12-04T10:47:51+0000,401,12,0,10208385800313736,Jake Kauffman,photo
163576114113950_172991309839097,https://www.facebook.com/163576114113950/posts/172991309839097,2016-12-04T05:09:07+0000,1343,101,4,1258710120818576,Neema Sheshebor,photo
163576114113950_171879923283569,https://www.facebook.com/163576114113950/posts/171879923283569,2016-12-02T21:51:18+0000,607,65,12,10207679168919831,Nazee Banayan,photo
163576114113950_170218230116405,https://www.facebook.com/163576114113950/posts/170218230116405,2016-12-01T04:07:26+0000,697,47,3,859999117404833,Matthew Lin,photo
163576114113950_171562729981955,https://www.facebook.com/163576114113950/posts/171562729981955,2016-12-02T12:43:17+0000,969,51,4,1258710120818576,Neema Sheshebor,photo
163576114113950_172184126586482,https://www.facebook.com/163576114113950/posts/172184126586482,2016-12-03T06:14:51+0000,1273,38,104,1407834765911896,Sharly Rahman,photo
163576114113950_172867179851510,https://www.facebook.com/163576114113950/posts/172867179851510,2016-12-04T01:25:51+0000,1621,60,29,1781593775462849,James Mullen,photo
163576114113950_172792023192359,https://www.facebook.com/163576114113950/posts/172792023192359,2016-12-03T23:10:59+0000,44,3,0,1044008622287805,Joon Song,photo
163576114113950_172228869915341,https://www.facebook.com/163576114113950/posts/172228869915341,2016-12-03T07:15:42+0000,21,3,0,845123095633492,Alejandro Mosqueda,photo
163576114113950_173392639798964,https://www.facebook.com/163576114113950/posts/173392639798964,2016-12-04T16:13:15+0000,19,0,0,1139079339470421,Javier Cervantes,photo
163576114113950_172208743250687,https://www.facebook.com/163576114113950/posts/172208743250687,2016-12-03T06:45:03+0000,115,10,0,1767152316832330,Kate Gieschen,photo
163576114113950_173084633163098,https://www.facebook.com/163576114113950/posts/173084633163098,2016-12-04T08:34:16+0000,84,4,0,10206075400844165,Jon Yen,photo
163576114113950_172953456509549,https://www.facebook.com/163576114113950/posts/172953456509549,2016-12-04T04:13:23+0000,137,15,0,1137140909641758,Eric Qu,photo
163576114113950_172810236523871,https://www.facebook.com/163576114113950/posts/172810236523871,2016-12-03T23:36:01+0000,87,7,2,191289671237118,Chandler Hecht,video
163576114113950_172339469904281,https://www.facebook.com/163576114113950/posts/172339469904281,2016-12-03T09:45:10+0000,35,2,0,1146081265402137,Parth Dhamelia,photo
163576114113950_173200086484886,https://www.facebook.com/163576114113950/posts/173200086484886,2016-12-04T11:50:06+0000,218,3,1,1090503991002535,Amanda Araque,photo
163576114113950_173060049832223,https://www.facebook.com/163576114113950/posts/173060049832223,2016-12-04T07:38:07+0000,90,2,1,1029525210435033,Briana Garcia,photo
163576114113950_172973706507524,https://www.facebook.com/163576114113950/posts/172973706507524,2016-12-04T04:33:56+0000,204,6,1,1005207639533592,Justin Clum,photo
163576114113950_172693073202254,https://www.facebook.com/163576114113950/posts/172693073202254,2016-12-03T19:20:39+0000,213,6,0,10209195136099588,Dmitri Brereton,photo
163576114113950_172614463210115,https://www.facebook.com/163576114113950/posts/172614463210115,2016-12-03T17:02:07+0000,64,7,1,10208456314195862,Henna Dialani,photo
